Designator,Footprint,Quantity,Value,LCSC Part #
C15,C_0805,1,22uF 25V,C45783
"C16, C17",C_0402,2,100nF 25V,C56392
"C18, C21, C22, C23, C24, C25",C_0201,6,100nF,C76934
C19,C_0201,1,18pF,C62164
C20,C_0805,1,47uF 6V,C16780
C6,C_0201,1,1uF,
D1,SMD1010,1,XL-1010RGBC-WS2812B,C5349953
"D2, D3, D5, D6",DFN1006-2L,4,~,C5137770
J6,USB-C-Socket-H,1,USB-C-Socket-H,C709357
L2,L_5x5,1,4.7uH,C307876
"Q1, Q2, Q3",SOT-363_SC-70-6,3,BSS138PS,C193381
Q4,SOT-23,1,BSS84,
R1,R_0201,1,20k,
"R10, R11",R_0201,2,5K1,C274341
"R12, R13, R17, R18, R19, R2, R3, R4",R_0201,8,10k,
"R14, R15",R_0201,2,150k 1%,C310173
R16,R_0201,1,33k 1%,C320835
"R20, R5, R6, R8, R9",R_0201,5,10R,
U1,ESP32-S3-MINI-1,1,ESP32-S3-MINI-1-N4R2,C3013941
"U2, U6",SOT-363_SC-70-6,2,SN74LVC1T45DCK,
U3,SOT-563,1,TPS562246,C41833479
"U4, U5",WCSP-4-0.78x0.78,2,TPS22916CNYFPR,C2655476
